valor,unidadeDeMedida,dataHora,descricao,tipo
1.2,%,"2024-11-24 20:57:21","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:21","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:21","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:57:23",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:23",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:57:23","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:23","Uso de Memória RAM",Memória
1.4,%,"2024-11-24 20:57:23","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:23","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:23","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:25","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:25","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:25","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:25","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:25","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:57:28",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:28",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:57:27","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:27","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:27","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:27","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:27","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:30","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:30","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:30","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:30","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:30","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:32","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:32","Uso de Memória RAM",Memória
4.9,%,"2024-11-24 20:57:32","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:32","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:32","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:57:33",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:33",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:57:34","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:34","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:34","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:34","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:34","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:36","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:36","Uso de Memória RAM",Memória
1.4,%,"2024-11-24 20:57:36","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:36","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:36","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:57:38",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:38",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:57:38","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:39","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:39","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:39","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:39","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:41","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:41","Uso de Memória RAM",Memória
1.4,%,"2024-11-24 20:57:41","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:41","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:41","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:57:43",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:43",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:57:43","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:43","Uso de Memória RAM",Memória
2.4,%,"2024-11-24 20:57:43","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:43","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:43","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:45","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:45","Uso de Memória RAM",Memória
5.1,%,"2024-11-24 20:57:45","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:45","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:45","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:47","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:47","Uso de Memória RAM",Memória
14,MB,"2024-11-24 20:57:48",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:48",BytesRecebidos,"Placa de Rede"
0,%,"2024-11-24 20:57:47","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:47","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:47","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:50","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:50","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:50","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:50","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:50","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:52","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:52","Uso de Memória RAM",Memória
7.6,%,"2024-11-24 20:57:52","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:52","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:52","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:57:53",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:53",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:57:54","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:54","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:54","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:54","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:54","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:56","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:56","Uso de Memória RAM",Memória
1.4,%,"2024-11-24 20:57:56","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:56","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:56","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:57:58",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:58",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:57:58","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:57:58","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:58","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:58","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:58","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:58:01","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:58:01","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:58:01","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:01","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:01","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:58:03",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:58:03",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:58:03","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:58:03","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:58:03","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:03","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:03","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:58:05","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:58:05","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:58:05","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:05","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:05","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:58:07","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 20:58:07","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:58:07","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:07","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:07","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:58:08",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:58:08",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:58:09","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 20:58:09","Uso de Memória RAM",Memória
1.2,%,"2024-11-24 20:58:10","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:10","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:10","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:58:12","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 20:58:12","Uso de Memória RAM",Memória
1.4,%,"2024-11-24 20:58:12","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:12","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:12","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:58:13",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:58:13",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:58:14","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 20:58:14","Uso de Memória RAM",Memória
2.4,%,"2024-11-24 20:58:14","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:14","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:14","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:58:16","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 20:58:16","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:58:16","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:16","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:16","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:58:18",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:58:18",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:58:18","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 20:58:18","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:58:18","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:18","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:18","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:58:21","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 20:58:21","Uso de Memória RAM",Memória
6.4,%,"2024-11-24 20:58:21","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:21","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:21","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:58:23",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:58:23",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:58:23","Uso de Armazenamento",Armazenamento
6.7,GB,"2024-11-24 20:58:23","Uso de Memória RAM",Memória
1.4,%,"2024-11-24 20:58:23","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:23","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:23","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:58:25","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 20:58:25","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:58:25","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:25","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:25","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:58:27","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 20:58:27","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:58:27","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:27","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:27","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:58:28",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:58:28",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:58:29","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 20:58:29","Uso de Memória RAM",Memória
1.2,%,"2024-11-24 20:58:29","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:29","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:29","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:58:32","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 20:58:32","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:58:32","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:32","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:32","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:58:33",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:58:33",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:58:34","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 20:58:34","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:58:34","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:34","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:34","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:58:36","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:58:36","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:58:36","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:58:36","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:58:36","Perda de Pacotes","Placa de Rede"
475,GB,"2024-11-24 21:01:06","Armazenamento Total",Armazenamento
7.4,GB,"2024-11-24 21:01:06","Memória RAM Total",Memória
461,GB,"2024-11-24 21:01:06","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 21:01:06","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:06","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:06","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:06","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:08","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 21:01:08","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:08","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:08","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:08","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:10","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 21:01:10","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:10","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:10","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:10","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:13","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 21:01:13","Uso de Memória RAM",Memória
5.6,%,"2024-11-24 21:01:13","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:13","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:13","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:15","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 21:01:15","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:15","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:15","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:15","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:17","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 21:01:17","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:17","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:17","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:17","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:19","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 21:01:19","Uso de Memória RAM",Memória
2.5,%,"2024-11-24 21:01:19","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:19","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:19","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:21","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 21:01:22","Uso de Memória RAM",Memória
2.6,%,"2024-11-24 21:01:22","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:22","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:22","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:24","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 21:01:24","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:24","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:24","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:24","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:26","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 21:01:26","Uso de Memória RAM",Memória
4.2,%,"2024-11-24 21:01:26","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:26","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:26","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:28","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 21:01:28","Uso de Memória RAM",Memória
2.4,%,"2024-11-24 21:01:28","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:28","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:28","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:30","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 21:01:30","Uso de Memória RAM",Memória
8,%,"2024-11-24 21:01:30","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:30","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:30","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:33","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 21:01:33","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:33","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:33","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:33","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:35","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 21:01:35","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:35","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:35","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:35","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:37","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 21:01:37","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:37","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:37","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:37","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:39","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 21:01:39","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:39","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:39","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:39","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:42","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 21:01:42","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:42","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:42","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:42","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:44","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 21:01:44","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:44","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:44","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:44","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:46","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 21:01:46","Uso de Memória RAM",Memória
1.4,%,"2024-11-24 21:01:46","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:46","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:46","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:48","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 21:01:48","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:48","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:48","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:48","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:50","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 21:01:50","Uso de Memória RAM",Memória
8.4,%,"2024-11-24 21:01:50","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:50","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:50","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:53","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 21:01:53","Uso de Memória RAM",Memória
1.2,%,"2024-11-24 21:01:53","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:53","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:53","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:55","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 21:01:55","Uso de Memória RAM",Memória
4,%,"2024-11-24 21:01:55","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:55","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:55","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:57","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 21:01:57","Uso de Memória RAM",Memória
1.2,%,"2024-11-24 21:01:57","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:57","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:57","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:01:59","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 21:01:59","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:01:59","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:01:59","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:01:59","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:02:02","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 21:02:02","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:02:02","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:02:02","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:02:02","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:02:04","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 21:02:04","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:02:04","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:02:04","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:02:04","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:02:06","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 21:02:06","Uso de Memória RAM",Memória
2.7,%,"2024-11-24 21:02:06","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:02:06","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:02:06","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:02:08","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 21:02:08","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:02:08","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:02:08","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:02:08","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:02:10","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 21:02:10","Uso de Memória RAM",Memória
1.2,%,"2024-11-24 21:02:10","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:02:10","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:02:10","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:02:13","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 21:02:13","Uso de Memória RAM",Memória
0,%,"2024-11-24 21:02:13","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 21:02:13","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 21:02:13","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 21:02:15","Uso de Armazenamento",Armazenamento
6.6,GB,"2024-11-24 21:02:15","Uso de Memória RAM",Memória
2.7,%,"2024-11-24 21:02:15","Alerta: Alto uso da CPU!!",Processador
